idMembership,idBranch,nameMembership,membershipType,durationType,duration,updateDate,value,maxAmountInstallments,description,urlSale,onlineSalesObservations,differentials,accessBranches,additionalService,serviceYearly,typePromotionalPeriod,valuePromotionalPeriod,monthsPromotionalPeriod,daysPromotionalPeriod,minPeriodStayMembership,installmentsPromotionalPeriod,activitiesGroups,inactive,displayName,entries,salesPage,allowsCancellationByApp,externalSaleAvailable,acceptEnrollment,enrollmentRequired
15,1,Move4You - Ensine,Common contract,Months,12,2025-06-26T23:24:47,0.0,,Move4You - Ensine,,,[],"[{'idBranch': 1, 'name': 'Move 4 You Alameda'}]",,,0,0.0,0,0,,,"[{'idGroupActivity': 4, 'name': 'MOVE CYCLE', 'idBranch': 1}, {'idGroupActivity': 5, 'name': 'MOVE YOGA', 'idBranch': 1}, {'idGroupActivity': 6, 'name': 'MOVE EXTREME', 'idBranch': 1}, {'idGroupActivity': 7, 'name': 'MOVE DANCE', 'idBranch': 1}, {'idGroupActivity': 27, 'name': 'AULAS COLETIVAS - MULTI MOVE', 'idBranch': 1}]",False,,"{'entriesQuantity': 0, 'idEntriesType': 0, 'entriesTypeDescription': 'Unlimited'}",[],,False,False,False
17,1,Move4You - Fit,Monthly recurrence,Months,0,2025-06-26T23:24:47,89.9,,Move4You - Fit,,,[],"[{'idBranch': 1, 'name': 'Move 4 You Alameda'}]","{'idService': 21, 'name': 'MATRÍCULA', 'value': 55.0}","{'idService': 9, 'name': 'ANUIDADE', 'value': 109.9, 'type': 2, 'billingMonth': None, 'billingDay': None, 'billingAfterMonths': 1, 'installments': 3}",0,0.0,0,0,,,"[{'idGroupActivity': 4, 'name': 'MOVE CYCLE', 'idBranch': 1}, {'idGroupActivity': 5, 'name': 'MOVE YOGA', 'idBranch': 1}, {'idGroupActivity': 6, 'name': 'MOVE EXTREME', 'idBranch': 1}, {'idGroupActivity': 7, 'name': 'MOVE DANCE', 'idBranch': 1}]",True,,"{'entriesQuantity': 0, 'idEntriesType': 0, 'entriesTypeDescription': 'Unlimited'}",[],,False,False,False
19,1,Move4You - Premium,Recurring debit c term,Months,12,2025-06-26T23:24:47,1198.8,,Move4You - Premium,,,[],"[{'idBranch': 1, 'name': 'Move 4 You Alameda'}, {'idBranch': 2, 'name': 'Move 4 You Jardim Norte'}]","{'idService': 21, 'name': 'MATRÍCULA', 'value': 55.0}","{'idService': 9, 'name': 'ANUIDADE', 'value': 109.9, 'type': 2, 'billingMonth': None, 'billingDay': None, 'billingAfterMonths': 1, 'installments': 3}",0,0.0,0,0,,,"[{'idGroupActivity': 4, 'name': 'MOVE CYCLE', 'idBranch': 1}, {'idGroupActivity': 5, 'name': 'MOVE YOGA', 'idBranch': 1}, {'idGroupActivity': 6, 'name': 'MOVE EXTREME', 'idBranch': 1}, {'idGroupActivity': 7, 'name': 'MOVE DANCE', 'idBranch': 1}]",True,,"{'entriesQuantity': 0, 'idEntriesType': 0, 'entriesTypeDescription': 'Unlimited'}",[],,False,False,False
21,1,Move4You - Mensal Fit,Common contract,Months,1,2025-06-26T23:24:47,175.9,,Move4You - Mensal Fit,,,[],"[{'idBranch': 1, 'name': 'Move 4 You Alameda'}]","{'idService': 21, 'name': 'MATRÍCULA', 'value': 55.0}",,0,0.0,0,0,,,"[{'idGroupActivity': 4, 'name': 'MOVE CYCLE', 'idBranch': 1}, {'idGroupActivity': 5, 'name': 'MOVE YOGA', 'idBranch': 1}, {'idGroupActivity': 6, 'name': 'MOVE EXTREME', 'idBranch': 1}, {'idGroupActivity': 7, 'name': 'MOVE DANCE', 'idBranch': 1}]",False,,"{'entriesQuantity': 0, 'idEntriesType': 0, 'entriesTypeDescription': 'Unlimited'}",[],,False,False,False
23,1,Move4You - Mensal Premium,Common contract,Months,1,2025-06-26T23:24:47,186.9,,Move4You - Mensal Premium,,,[],"[{'idBranch': 1, 'name': 'Move 4 You Alameda'}, {'idBranch': 2, 'name': 'Move 4 You Jardim Norte'}]","{'idService': 21, 'name': 'MATRÍCULA', 'value': 55.0}",,0,0.0,0,0,,,"[{'idGroupActivity': 4, 'name': 'MOVE CYCLE', 'idBranch': 1}, {'idGroupActivity': 5, 'name': 'MOVE YOGA', 'idBranch': 1}, {'idGroupActivity': 6, 'name': 'MOVE EXTREME', 'idBranch': 1}, {'idGroupActivity': 7, 'name': 'MOVE DANCE', 'idBranch': 1}, {'idGroupActivity': 27, 'name': 'AULAS COLETIVAS - MULTI MOVE', 'idBranch': 1}, {'idGroupActivity': 24, 'name': 'AULAS COLETIVAS - MULTI MOVE', 'idBranch': 2}, {'idGroupActivity': 23, 'name': 'AULAS COLETIVAS', 'idBranch': 2}, {'idGroupActivity': 28, 'name': 'AULAS COLETIVAS.', 'idBranch': 1}]",False,,"{'entriesQuantity': 0, 'idEntriesType': 0, 'entriesTypeDescription': 'Unlimited'}",[],,False,False,False
31,1,TAEKWONDO,Monthly recurrence,Months,0,2025-06-26T23:24:47,115.0,,TAEKWONDO,,,[],"[{'idBranch': 1, 'name': 'Move 4 You Alameda'}]",,,0,0.0,0,0,,,[],True,,"{'entriesQuantity': 0, 'idEntriesType': 0, 'entriesTypeDescription': 'Unlimited'}",[],,False,False,False
35,1,Move4You - Premium Recorrente com Fidelidade 12 meses,Monthly recurrence,Months,0,2026-04-20T13:58:29,129.9,,Move4You - Premium Recorrente com Fidelidade 12 meses,https://evo-totem.w12app.com.br/grupofibratech/1/site/landing-page/checkout/35/0,"<p><strong>Plano Premium Alameda - Recorrente Fidelidade 12 meses<br /></strong><br />Musculação e Aulas Coletivas com acesso multi unidades a Move4You Alameda e Move4You Jardim Norte;<br />Anuidade a partir do segundo mês de recorrência em 3x 36,63 ;<br />Fidelidade de 12 meses;<br />Modalidade Débito Recorrente, renovação mensal automática;<br />Forma de pagamento cartão de crédito;<br />Cancelamento antes do período de 12 meses, gera uma taxa de 20% do perído restante da fidelidade.</p>",[],"[{'idBranch': 1, 'name': 'Move 4 You Alameda'}, {'idBranch': 2, 'name': 'Move 4 You Jardim Norte'}, {'idBranch': 7, 'name': 'MOVE4YOU - SÃO PEDRO'}, {'idBranch': 8, 'name': 'MOVE4YOU - AEROPORTO'}]","{'idService': 21, 'name': 'MATRÍCULA', 'value': 55.0}","{'idService': 9, 'name': 'ANUIDADE', 'value': 109.9, 'type': 2, 'billingMonth': None, 'billingDay': None, 'billingAfterMonths': 1, 'installments': 3}",0,0.0,0,0,,,"[{'idGroupActivity': 4, 'name': 'MOVE CYCLE', 'idBranch': 1}, {'idGroupActivity': 5, 'name': 'MOVE YOGA', 'idBranch': 1}, {'idGroupActivity': 6, 'name': 'MOVE EXTREME', 'idBranch': 1}, {'idGroupActivity': 7, 'name': 'MOVE DANCE', 'idBranch': 1}, {'idGroupActivity': 27, 'name': 'AULAS COLETIVAS - MULTI MOVE', 'idBranch': 1}, {'idGroupActivity': 24, 'name': 'AULAS COLETIVAS - MULTI MOVE', 'idBranch': 2}, {'idGroupActivity': 23, 'name': 'AULAS COLETIVAS', 'idBranch': 2}, {'idGroupActivity': 28, 'name': 'AULAS COLETIVAS.', 'idBranch': 1}]",False,MOVE4YOU ALAMEDA - PREMIUM RECORRENTE FIDELIDADE 12 MESES,"{'entriesQuantity': 0, 'idEntriesType': 0, 'entriesTypeDescription': 'Unlimited'}","[{'idSalesPage': 3, 'order': 3, 'salesPageDescription': ' Move4You - Premium Recorrente com Fidelidade 4 meses'}]",False,False,False,False
37,1,Move4You - Fit - Recorrente,Monthly recurrence,Months,0,2026-03-27T15:06:51,119.9,,Move4You - Fit - Recorrente,https://evo-totem.w12app.com.br/grupofibratech/1/site/landing-page/checkout/37/0,"<p><strong>Plano Fit Alameda - Recorrente Fidelidade 4 meses<br /></strong><br />Musculação com acesso restrito a unidade Move4You Alameda;<br />Anuidade a partir do segundo mês de recorrência em 3x 36,63;<br />Fidelidade de 4 meses;<br />Modalidade Débito Recorrente, renovação mensal automática;<br />Forma de pagamento cartão de crédito;<br />Cancelamento antes do período de 4 meses, gera uma taxa de 20% do perído restante da fidelidade.</p>",[],"[{'idBranch': 1, 'name': 'Move 4 You Alameda'}]","{'idService': 21, 'name': 'MATRÍCULA', 'value': 55.0}","{'idService': 9, 'name': 'ANUIDADE', 'value': 109.9, 'type': 2, 'billingMonth': None, 'billingDay': None, 'billingAfterMonths': 1, 'installments': 3}",0,0.0,0,0,,,"[{'idGroupActivity': 4, 'name': 'MOVE CYCLE', 'idBranch': 1}, {'idGroupActivity': 5, 'name': 'MOVE YOGA', 'idBranch': 1}, {'idGroupActivity': 6, 'name': 'MOVE EXTREME', 'idBranch': 1}, {'idGroupActivity': 7, 'name': 'MOVE DANCE', 'idBranch': 1}]",False,MOVE4YOU ALAMEDA - FIT RECORRENTE FIDELIDADE 4 MESES,"{'entriesQuantity': 0, 'idEntriesType': 0, 'entriesTypeDescription': 'Unlimited'}","[{'idSalesPage': 3, 'order': 1, 'salesPageDescription': ' Move4You - Premium Recorrente com Fidelidade 4 meses'}]",False,False,False,False
347,1,ACESSO MULTI UNIDADES (BOLSA) (1 MES - EM 1 VEZ),Common contract,Months,1,2025-06-26T23:24:47,0.0,1.0,ACESSO MULTI UNIDADES (BOLSA) (1 MES - EM 1 VEZ),,,[],"[{'idBranch': 1, 'name': 'Move 4 You Alameda'}]",,,0,0.0,0,0,,1.0,[],True,,"{'entriesQuantity': None, 'idEntriesType': 0, 'entriesTypeDescription': 'Unlimited'}",[],,False,False,False
348,1,ACESSO MULTI UNIDADES (BOLSA) (10 MESES - EM 1 VEZ),Common contract,Months,10,2025-06-26T23:24:47,0.0,1.0,ACESSO MULTI UNIDADES (BOLSA) (10 MESES - EM 1 VEZ),,,[],"[{'idBranch': 1, 'name': 'Move 4 You Alameda'}]",,,0,0.0,0,0,,1.0,[],True,,"{'entriesQuantity': None, 'idEntriesType': 0, 'entriesTypeDescription': 'Unlimited'}",[],,False,False,False
