mes,entradas,membros_novos,receita,ticket_medio,cancelamentos,membros_cancelados,ano,mes_num,saldo_liquido,taxa_churn_pct
2024-11,2,2,219.8,109.9,0.0,0.0,2024,11,2.0,0.0
2024-12,82,82,8821.800000000001,107.5829268292683,0.0,0.0,2024,12,82.0,0.0
2025-01,2367,2348,262811.92,111.0785798816568,86.0,86.0,2025,01,2281.0,3.6
2025-02,2330,2316,256589.82,110.17167024474024,116.0,115.0,2025,02,2214.0,5.0
2025-03,2317,2310,259036.56000000003,111.84652849740934,112.0,111.0,2025,03,2205.0,4.8
2025-04,2279,2276,257229.16,112.86931110136025,104.0,104.0,2025,04,2175.0,4.6
2025-05,2266,2262,259269.51,114.41725948808474,101.0,101.0,2025,05,2165.0,4.5
2025-06,2225,2219,254183.48,114.29113309352519,97.0,97.0,2025,06,2128.0,4.4
2025-07,2325,2319,252887.62000000002,108.76886881720431,70.0,70.0,2025,07,2255.0,3.0
2025-08,2340,2333,258408.85,110.43113247863248,98.0,97.0,2025,08,2242.0,4.2
2025-09,2325,2315,268301.3,115.39840860215054,94.0,94.0,2025,09,2231.0,4.0
2025-10,2318,2307,267732.06,115.50132010353754,92.0,92.0,2025,10,2226.0,4.0
2025-11,2303,2295,266506.65,115.72151541467652,88.0,88.0,2025,11,2215.0,3.8
2025-12,2272,2261,261395.12000000002,115.05066901408452,94.0,94.0,2025,12,2178.0,4.1
2026-01,2256,2239,260619.38,115.52277482269504,99.0,99.0,2026,01,2157.0,4.4
2026-02,2255,2247,257331.98,114.11617738359202,99.0,99.0,2026,02,2156.0,4.4
2026-03,2254,2234,262814.25,116.70259769094139,91.0,91.0,2026,03,2163.0,4.0
2026-04,695,689,80137.01000000001,115.30505035971224,93.0,93.0,2026,04,602.0,13.4
2026-05,1,1,119.9,119.9,16.0,16.0,2026,05,-15.0,1600.0
